Title,Type,Values,Price
Blk 302 Yishun Central,   1988,104 sqm / $464 psf(Built),520000
Blk 506C Angsana Breeze @ Yishun,   2018,93 sqm / $564 psf(Built),565000
Blk 264 Yishun Street 22,   1986,104 sqm / $442 psf(Built),494900
Blk 312 Yishun Ring Road,   1987,84 sqm / $470 psf(Built),425000
Blk 117 Yishun Ring Road, 1983,104 sqm / $428 psf(Built),480000
Blk 348A Adora Green,   2013,92 sqm / $656 psf(Built),650000
Blk 407 Yishun Avenue 6,   1988,84 sqm / $448 psf(Built),405000
Blk 346 Yishun Avenue 11, 1988,104 sqm / $420 psf(Built),470000
Blk 870 Yishun Street 81,   1987,104 sqm / $464 psf(Built),520000
Blk 870 Yishun Street 81,   1987,104 sqm / $464 psf(Built),520000
Blk 304 Yishun Central,   1988,104 sqm / $487 psf(Built),545000
Blk 838 Yishun Street 81,   1987,104 sqm / $534 psf(Built),598000
Blk 817 Yishun Street 81,   1987,104 sqm / $445 psf(Built),499000
Blk 676B Park Grove @ Yishun, 2017,93 sqm / $574 psf(Built),575000
Blk 269 Yishun Street 22,   1988,84 sqm / $495 psf(Built),448000
Blk 403 Yishun Avenue 6,   1988,84 sqm / $475 psf(Built),430000
Blk 676A Park Grove @ Yishun,   2017,93 sqm / $579 psf(Built),580000
Blk 446 Yishun Avenue 11,   2012,92 sqm / $543 psf(Built),538000
Blk 349 Yishun Avenue 11,   1988,108 sqm / $417 psf(Built),485000
Blk 287 Yishun Avenue 6,   1985,104 sqm / $445 psf(Built),499000
